"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","200","Create POST API Request using dynamic JSON file","chromium","2025-10-26","passed","2025-10-26","","POST/post_api_request_04.spec.ts","",""
"","175","Create POST API Request using static JSON file","chromium","2025-10-26","passed","2025-10-26","","POST/post_api_request_02.spec.ts","",""
"","742","Create POST API Request using dynamic request body","chromium","2025-10-26","passed","2025-10-26","","POST/post_api_request_03.spec.ts","",""
"","662","Create PUT API Request in playwright","chromium","2025-10-26","passed","2025-10-26","","PUT/put_api_requests_01.spec.ts","",""
"","1164","get started link","chromium","2025-10-26","passed","2025-10-26","","example.spec.ts","",""
"","543","Create PATCH API Request in playwright","chromium","2025-10-26","passed","2025-10-26","","PATCH/patch_api_requests_01.spec.ts","",""
"","1286","Create DELETE API Request in playwright","chromium","2025-10-26","passed","2025-10-26","","GET/delete_api_requests_01.spec.ts","",""
"","922","Create GET API Request in playwright","chromium","2025-10-26","passed","2025-10-26","","GET/get_api_request_01.spec.ts","",""
"","396","Query parameters in playwright","chromium","2025-10-26","passed","2025-10-26","","GET/query_parameters_02.spec.ts","",""
"","559","Create POST API Request using static request body","chromium","2025-10-26","passed","2025-10-26","","POST/post_api_request_01.spec.ts","",""
"","956","has title","chromium","2025-10-26","passed","2025-10-26","","example.spec.ts","",""
